voice-ai-for-korean-restaurants	Korean menus: banchan sets, spice levels, KBBQ party orders, Korean-language callers
voice-ai-for-vietnamese-pho-restaurants	Pho customization (broth, noodle, protein, herbs on the side), Vietnamese-language callers
voice-ai-for-greek-restaurants	Gyro platters vs pitas, family platters, catering trays, Greek Orthodox holiday spikes
voice-ai-for-caribbean-jamaican-restaurants	Sold-out oxtail, "what's left today", patois-accented callers, Sunday volume
voice-ai-for-ethiopian-restaurants	Combination platters for groups, injera counts, fasting-season vegan menus
voice-ai-for-peruvian-restaurants	Pollo a la brasa whole/half birds, sides math, weekend family orders
voice-ai-for-brazilian-steakhouses	Reservation-heavy calls, per-person pricing questions, large party deposits
voice-ai-for-ramen-shops	Wait-time quoting, no-substitution policies, takeout noodle-quality caveats
voice-ai-for-poke-bowl-shops	Base/protein/mix-in trees, allergy questions, office lunch group orders
voice-ai-for-burger-joints	Temp requests, combo upsells, shake add-ons, lunch-rush call collision
voice-ai-for-cheesesteak-shops	Wiz/provolone, "wit or witout", hoagie sizing, late-night volume
voice-ai-for-hot-dog-stands	Tiny menu, huge call spikes, cash-only realities and prepay
voice-ai-for-empanada-shops	Per-dozen mixes, flavor sold-outs, party trays
voice-ai-for-boba-tea-shops	Sugar/ice levels, topping combinatorics, teen call volume, group orders
voice-ai-for-donut-shops	Early-morning preorders, dozen mixes, corporate standing orders
voice-ai-for-dessert-shops	Custom cake lead times, pickup windows, deposit rules on the phone
voice-ai-for-creperies	Sweet vs savory menus, small kitchens, weekend brunch line
voice-ai-for-falafel-shawarma-shops	Platter vs wrap, sauce rules, halal questions, late-night rush
voice-ai-for-dim-sum-restaurants	Cart-service confusion, per-item takeout counts, Cantonese callers
voice-ai-for-tapas-restaurants	Small-plate counts per person, reservation-plus-order calls
voice-ai-for-sports-bars	Game-time surge, wing counts, big-party call-aheads, TV/reservation questions
voice-ai-for-breweries-taprooms	Food-truck schedules, growler rules, private event inquiries
voice-ai-for-wineries-tasting-rooms	Tasting reservations, group size limits, shipping questions
voice-ai-for-pop-up-restaurants	Changing locations and hours, preorder windows, sellouts
voice-ai-for-catering-only-kitchens	Lead qualification, quote requests, delivery windows, no walk-in traffic
voice-ai-for-meal-prep-companies	Subscription changes, pickup day logistics, macro questions
voice-ai-for-hotel-restaurants-room-service	In-room dining calls, guest room charges, front-desk handoffs
voice-ai-for-country-clubs	Member-only rules, member number lookup, event bookings
voice-ai-for-stadium-concessions	Event-day spikes, suite catering orders, dead days between events
